topic_nr,0,1,2,3,4,5,6,7,8
34,scientists detect unexplainable radio signal outer space repeat days,ancient supermassive black hole particle beam aim right earth,earth size habitable zone exoplanet hide archive kepler data administrator nasa science mission directorate say intrigue distant world give greater hope second earth lie star wait,,,,,,
27,trump say venezuela incursion,riot erupt venezuela countryside food fuel scarcity,pompeo express outrage sisi death citizen,,,,,,
38,magnitude earthquake rock russia far east usgs,magnitude earthquake south jamaica,earthquake usa magnitude earthquake idaho felt areas,,,,,,
9,italy coronavirus death toll far higher report stats office,italian virologist say political correctness doom country coronavirus response,coronavirus death toll italy rise biggest single day jump,,,,,,
40,canada people kill mass shoot nova scotia,suspect dead officer shoot active shooter situation forrest city arkansas walmart,trudeau announce ban type assault style firearms effective immediately,,,,,,
24,coronavirus cruise crew plead help soon infect,royal caribbean cruise return passengers infect flu,princess cruise keep passengers room hours suppose board tell cancel,,,,,,
22,biggest outbreak outside china south korean city report zero new coronavirus case,historic parasite run south korea vow improve semi basement apartments,north korean lecturers confirm coronavirus case country,,,,,,
41,prepare defy allow huawei supply kit,canada court adjourn huawei exec extradition battle,germany need china huawei build network interior minister horst seehofer,,,,,,
29,test possible coronavirus vaccine underway,moderna ceo say supply coronavirus vaccine limit help decide get,covid vaccine ship drug trials start,,,,,,
32,india super spreader quarantine people,doctor india prepare onslaught asia biggest slum report coronavirus death,indian man wrongly think corona virus kill protect village,,,,,,
28,russia confirm coronavirus case jump,russia see record day coronavirus case putin popularity plunge,russia report new coronavirus case,,,,,,
