topic_nr,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422
0,india modi lash protest farmers,climate activist arrest india farmers protest toolkit,cold rain india farmers press stand modi,investigator claim china refuse hand key covid information,china blast overreaction virus spread fear,covid disinformation spread russia china experts,msnbc katy tur delete tweet apologize report kim jong brain dead,north korea say see improvement relations maintain kim trump tie kcna,kim kardashian kourtney kardashian physical altercation,facebook commitment free speech piss people zuckerberg say ceo defend facebook decision ban political ads say company stand free expression,facebook bug reveal greta thunberg post,facebook spend million mark zuckerberg personal security,rocket direct hit embassy,lead coalition tell iraqi military withdraw iraq,germany hop joint transatlantic approach iran biden,boko haram kill villagers christmas eve attack,islamic militants kill people north east nigeria nigeria,boko haram leader kill direct order islamic state,china set impose new hong kong security law trump warn strong reaction,axios end hong kong political freedom,pla garrison hong kong say firmly support implementation national security law hksar,china slam congratulate tsai ing wen taiwan poll win,urge assembly include taiwan,countries remove china preferential tariff treatment dec taiwan news,officials push china relations point return,global player summit seek answer china strategy,china accuse cold war mentality beijing,poachers south africa slaughter lions hack face claw traditional medicine,concentration camp live be pakistan high court condemn continue existence zoos,zoo struggle fee animals animals,turkish opposition deepen cooperation heap pressure erdogan,trump praise erdoğan rnc panel hostage hold turkey,erdogan backpedal threat expel western ambassadors,tens thousands protesters march france saturday denounce security critics restrict film police post image social media notably document case police brutality,french police protest paris demand crackdown violence,climate activists french airport protest douse pepper spray,china blame revolutions illegal war amid south china sea spat,china announce south china sea drill close vietnam coast reuters,china say expel navy vessel south china sea,burj khalifa light historic dubai hanukkah celebrations public jewish celebration uae,trump rag netanyahu claim save israel destruction,direct commercial flight bahrain land israel,italy ship captain convict send migrants libya,sicily give hour notice migrants ngos leave risk arrest covid midnight monday migrants present hotspots reception center sicily transfer structure outside island delay,open arm rescue ship bring migrants italy,close photos trump note reveal replace coronavirus racially charge term,trump accuse democratic governors mutiny coronavirus power struggle,international embarrassment trump level infectious disease expert coronavirus response disaster,say china repression uighurs genocide,china breach article genocide convention say legal report uighurs,international olympic committee dismiss claim genocide uyghurs china olympic game,mexico investigate video apparent extrajudicial army kill cartel suspect,mexican military kill cartel members shootout near border,shoot narcos declare mayor mexican city hermosillo sonora,iran plane crash board kiev bind ukrainian airlines boeing victims include iranians canadians ukrainians swedes afghans germans british nationals,highly likely iran shoot ukrainian airliner official say,ukraine say iran cooperate boeing crash probe call reduce media speculation,amid power crunch china order coalmines raise production,tell china stop fund coal project overseas,india snap cheap australian coal sit chinese port,call boycott french products grow muslim world macron back mohammed cartoon,macron call islam religion crisis unveil plan fight radicalism,tens thousands muslims protest macron remark kill france,share suffer worst day,economics failure destruction nature present extreme risk new measure success need avoid catastrophic breakdown landmark review find,france hit worst economic downturn wwii finance minister say,democracy danger muslims india police target violence,citizenship amendment indian police shoot kill muslims weren protest say activist kavita krishnan,pvv manifesto include islamisation nexit ban dual national vote right,bolsonaro threaten sack health minister coronavirus criticism world news,bolsonaro vow new brazil lie fill speech cut little ice,bolsonaro drag brazil coronavirus calamity experts fear bolsonaro world leaders downplay threat coronavirus public health alongside authoritarian presidents nicaragua belarus turkmenistan,amazon seek hire surge order covid,amazon target instacart workers protest day,amazon offer bonus recruit battle workers heat,national shoot dead pakistan courtroom blasphemy trial,christian sentence death pakistan accuse blasphemy refuse employer request convert islam,pak woman principal sentence death commit blasphemy,taiwan media india china border face show illustration show hindu god ram battle chinese dragon surface social media hong kong user,india china standoff galwan valley incident cause embarrassment beijing say media report,india china face exclusive picture emerge chinese troop arm spear machete lac india news,countries join renewable energy scenario,sweden new car carrier world largest wind power vessel,german engineer firm insist build adani coal arguably call semens,court hold pretrial conference prince andrew sexual assault suit,prince andrew face trial sexual abuse case year judge say,meet police destroy record night prince andrew allegedly sex teenager london say royal protection officer,deport year old concentration camp guard germany,nuremberg trials illegitimate say dutch far right party leader baudet dutchnews,year old go trial germany accuse nazi war crimes,keep russia distance docile putin satrap,trump say lot love putin want country larger,putin strategy aim american way life,social media news websites hit major internet outage,google gmail youtube massive outage worldwide,youtube google gmail globe huge outage,legacy combustion vehicles drop market share germany plugins grab market years ago,battery discovery propel evs sydney melbourne charge,tesla long delay german gigafactory get conditional green light,japan immigration admit mistreatment sri lankan death,survey find men japan childcare leave,tokyo district court uphold ban dual citizenship,brexit free trade talk yield significant progress deadline near,agree brexit trade deal,run time reach deal save natural world say talk chair,trump clear impeachment trial,impeachment critics trump retribution tour,trump publicly admit fire white house official retaliation impeachment testimony insubordinate,belarus lukashenko brandish rifle army monitor protesters,belarus opposition urge recognize election result ahead summit,belarusians russian region protest aim kremlin,trudeau claim victory canada election fall short bid form majority government,canada new democrats trudeau government avert election,canada trudeau set survive new democrats vow avoid election,trump say republicans elect easier vote,trump isn world leader threaten delay election,donald trump call presidential election delay,chinese users divide russia invasion ukraine,china russia diplomatically move ukraine,china try stop russia war ukraine,audio migrant shelter reveal allegations sex misconduct staff minors,child sex exploitation rise canada pandemic report online sexual exploitation canadian children soar covid pandemic abusers advantage fact kid spend time online,senator aim curb violent porn pitch mandatory age verification online sit,members military counter terrorism unit investigation allegedly take convoy protest,early saturday afternoon ottawa police additional arrest addition friday police tow vehicles friday parliamentary precinct ottawa place hold secure,live author canadian right charter endorse freedom convoy remain steadfast,airstrike target member involve plan kabul attack,say carry strike isis afghanistan,biden reject blinken austin advice gradual afghanistan withdrawal,mozambique seedlings plant restore native exotic species,climate change lead extinction bumblebees canadian research find,blind light firefly species face extinction,australia take instructions trump china,australians trust china act responsibly world lowy institute poll find,china warn australia go wrong path,estonian freighter shell russian army sink near odesa,russia say expel british warship water near crimea,air force say russian fighters execute unsafe intercept bomber black sea,venezuela opposition claim thursday members leader juan guaido team arrest day appear prosecutors investigate allege attempt coup etat magnicide,nicolas maduro right possible stand imperialism,intervene venezuela prepare high stake election,democratic right wing populist party blockage major roads montenegro supporters,trump stop years kosovo serbia conflict hug kiss,rare spat serbia russia broker deal belgrade angry moscow basic instinct image mock serbian president say trump humiliate,australia labor party track win queensland vote covid dominate race,sydney ready tighter lockdown rule delta gain grind,australia covid case record high millions lockdown,composer ennio morricone die age,rapper actor dmx dead,rapper dmx dead week life support follow heart attack family statement,meter baby whale dead beach south israel possible tar spill,whale marine mammals susceptible covid wastewater study,wwe star say fuck manatees,homeless man rescue animals shelter catch,china dog meat festival open,canada threaten seize potentially euthanize truckers pet,beirut port explosion reconstruction forensic architecture,media report death leader lebanese party kataib beirut,beirut blast missile blame say lebanon president michel aoun,merkel punk pick leave ceremony raise eyebrows,angela merkel say germany fight climate crisis,accord german newspaper bild chancellor angela merkel intervene minute prevent greco turkish war escalate,canadian oil producers cut operations price plummet russia saudi oil war coronavirus slowdown,oil plummet biggest drop gulf war saudi cut spark price war oil market tumble decades overnight sunday sell fuel sink demand coronavirus concern,oil price crash coronavirus chaos barrel,condemn shock terrible back saudi coalition bomb kill yemeni civilians,designate yemen houthis terrorist group,nearly yemeni huthi fighters kill near strategic city marib june source close rebel say thursday rare admission casualties seven year war,hungary poland vow veto covid recovery fund mechanism,poland hungary retaliatory action bet veto budget coronavirus recovery package member state,american inspire piece artwork poralises hungary,plan dump radioactive fukushima water pacific blast appal,cesium exceed standard honey produce near fukushima daiichi nuclear power plant japan,fukushima radioactive water contain carbon damage human dna say greenpeace,canadian trend donald trump float idea troop border,trudeau trump worlds apart canada border closure cbc news,new business venture help canadian snowbirds circumvent close land border cbc news,newly declassify report hold saudi crown prince responsible khashoggi kill,operatives kill saudi dissident journalist jamal khashoggi receive train new york time report,oscar winner khashoggi documentary stream service want,tucson police officer fire fatally shoot year old mobility scooter time,people shoot dead active shooter ilinois bowl alley,governor call action video capture wisconsin police shoot black man time,taiwan scramble air force chinese aircraft spot nearby,chinese bomber plan fighter jet enter southwestern corner taiwan air defence identification zone saturday taiwan air force deploy missiles monitor incursion,taiwan report chinese aircraft air defence zone,fujifilm latest victim network cripple ransomware attack,cyber attack world largest meat company disrupt production world attack come weeks hackers shut operation colonial pipeline largest fuel pipeline,russia link group hack businesses ransomware,russian force capture chernobyl nuclear facility ukrainian officials,chernobyl power plant capture russian force ukrainian official,chernobyl update international atomic energy agency update ukraine,attempt terrorist attack report kalandiya checkpoint,kashmiri feel humiliate india annexation official mediator radha kumar say great deal fear kashmir valley,biden president raise kashmir issue india say adviser,putin order nuclear deterrence force alert,russia raise alert claim west weigh nuclear war,putin nuclear alert order pattern threats say,source biden ban russian oil import ukraine war,germany scholz reject call ban russian oil gas,russian official warn ban oil import catastrophic world market,finland consider join nato russian invasion,nato bring finland sweden board ukraine conflict discussions,neutral finland sweden warm idea nato membership,year old indian teen commit suicide falsely accuse sexual assult harassment tag metoo post amid boislockerroom drama,indian girl assault stick family wear jeans die,year old girl india stone bury alive rap,trudeau say canada handle coronavirus pandemic better able control virus better ally particularly include neighbour say canadian prime minister,think covid real idiot say canadian politician,canadian military intelligence monitor black live matter movement claim pandemic justify action canadian force intelligence officer compile data black live matter movement ontario military response covid pandemic accord document,garry mod rust price go russia help support ukrainian charities,uah billion transfer special account ukraine arm force,national bank poland provide ukraine nbu billion,outrage body gunshot wound hand bind river ethiopia tigray region sudan aid chief visit ethiopia end devastate war famine,ethiopia boy publicly execute oromia,report dead allege attack ethiopia,olympic athletes unvaccinated,olympics curse say japan deputy prime minister,tokyo governor yuriko koike praise anti virus efforts face increase criticism adamant denials olympics link explosion new covid case capital,ukraine ask fbi help probe suspect russian hack burisma,russian government hackers likely penetrate ukrainian military energy critical systems government say,key ukrainian government websites series cyberattacks,seek squeeze cuba curb flight island,cuba see biggest protest decades pandemic add woes,china tell sanction pledge support cuba,hungary say offer free fertility treatments counter population decline,romanian orphan adults years ago romania deprive thousands baby human contact,hungary parliament pass anti lgbt law ahead election,visit bitcoin beach bitcoin work salvador ama,secret wealth deal world leaders politicians billionaires expose biggest leak financial document current leaders public officials feature file offshore company dub pandora paper,global bank defy crackdowns serve oligarchs criminals terrorists,lose anglo saxon monastery discover england king crown,controversial stonehenge tunnel plan approve,funerary temple queen nearit wife pharaoh teti discover,ukraine civilians kill wound russian invasion,ukraine say repulse major attack kyiv base shoot russian transport,ukrainian civilians kill russia emergency service,children kill russian mercenaries implicate torture kill civilians central african republic,russia summon croatian attaché report mercenaries ukraine,military claim russia send military equipment libya,doj say chinese hackers target coronavirus vacc,china back hackers plan attack indian govt industry report,microsoft attack blame china go global victims,australia textbook victorian school repeat chinese government propaganda,new york time officially chinese communist propaganda,china outlaw clickbait sensationalist headline,biggest thai protest years target government monarchy,thai woman jail years criticise royal family country harshest sentence insult monarchy group people charge lèse majesté shortly military junta seize power vow stamp criticism monarchy,thai man jail insult monarchy sticker king portrait,shots fire migrants try cross greece turkey gunfire hear greek river evros turkish border saturday migrants attempt greece earlier greek police fire tear gas push hundreds stone throw migrants,greece say face severe threat migrant build,greece largest migrant camp partly evacuate early wednesday major blaze break overcrowd unsanitary home nearly asylum seekers nearly entire moria camp island lesbos include olive grove outside wall compound,ukrainian refugee flow western europe rise,nearly brits sign house ukrainian refugees,ukraine latest refugees reach million seven days,irish leo varadkar urge british government tone nationalist rhetoric brexit brand foreign secretary dominic raab memo diplomats sit separately counterparts petty,loyalist group withdraw support good friday agreement,northern ireland face clown shortage clown need northern ireland shortage blame pandemic,boxer marvelous marvin hagler dead covid vaccine,unlikely covid vaccine,moderna vaccine effective pfizer amp protect cdc lead study say,myanmar military junta chief min aung hlaing throw lavish dinner party saturday troop reportedly shoot dead people streets,protesters kill myanmar military defy restraint,know shoot kill live bullets mean stay alive junta say myanmar activist,urge india use influence russia abstain stain,russia highly appreciate india independent balance position vote unsc,india resist pressure expand quad remit discuss developments ukraine,russian vote extend putin rule near end,putin delay constitutional vote allow power,russian voters agree extend putin rule,italy wrong path fight coronavirus contagion scientist italy measure halt coronavirus contagion work change strategy set center separate people suspect symptoms families italian scientist say,italy seal entire towns cancel major events coronavirus case deaths infect country outside asia,time begin outbreak italy reduction new case covid today yesterday,coronavirus japan finally draw plan postpone tokyo weeks denials,japan set extend covid curb hospitals battle infections,fear grow complacency japan see nationwide coronavirus spike,india lakh covid case day winter cure mit study,india sorry state affairs give pressure group slam kerala decision relax covid norms eid,india massive covid surge puzzle scientists,topple statue century slave trader edward colston black live matter protesters bristol fuel call controversial monuments pull,monument honor indigenous women replace columbus statue mexico city,oxford professor arrest suspicion ancient papyrus theft,north korea encourage social distance prevent coronavirus country claim confirm case,south korea coronavirus case rise case trace church,north korean soldier reportedly die coronavirus case thousands quarantine government win acknowledge exist,detain russia anti war protest,pensioner arrest anti war protest russia,anti russian protester occupy ukrainian city say troop scar demonstrators,china show covid vaccines time,china coronavirus vaccine china show covid vaccines time world news time india,china africa priority access covid vaccine,china bar taiwan attend emergency meet claim china policy protect epidemic control,taiwanese woman icu days government fund flu vaccination woman lose sense touch taste eventually lose ability swallow soreness throat,china invite taiwanese come vaccinate covid,scientists worry coronavirus evolve worse flu say quarantine expert,coronavirus away world health organisation warn,deadly coronavirus inevitable ready,mexico swine flu hub test nerve coronavirus strategy,mexican president break coronavirus lockdown greet chapo mother coronavirus spread mexico country president spark controversy,mexico point man coronavirus see vacation maskless,russian lawmakers reinfected coronavirus duma speaker say,putin lie reveal russia coronavirus deaths,percent moscow residents coronavirus say mayor caes surge russia,coronavirus case cross million worldwide fatalities,death toll rise coronavirus spread,real coronavirus death toll higher official number bbc,russia say service debt roubles sanction,telegram raise bln russian direct investment fund buy bond,long line russia atms bank run begin pain come analysts,british gang international rival join force increase cocaine sales,drug cartel mistakenly send meth canadian ford dealerships,cocaine ecstasy river glastonbury festival,oldest dna poop contain neanderthal microbiome,piece string cave france show neanderthals know twist fibres rope,giant lair bone include human discover gruesome saudi arabian cave,world economy enter recession coronavirus say imf,economic havoc cause covid mean wwiii risk warn military chief,coronavirus push german economy recession,putin invade ukraine week accord officials,russia reportedly make decision ukraine invasion,sketchy detail russia complicate invasion coverage,recovery case new zealand eradicate virus,new zealand active case covid remain,days covid new zealand get rid virus keep spread world,germany coronavirus spread fast loosen restrictions,germany treat dozens coronavirus patients italy france,germany declare virus variant region,global report say world rein pandemic years,britain say need global lessons learn inquiry pandemic,america dangerous fantasy pandemic,brazil ready infect coronavirus nation,smallpox malaria brazil tribes fear coronavirus lethal import,deaths respiratory diseases brazil period,twitter remove russian embassy tweet mariupol bomb ukraine,russia block access facebook,twitter remove tweet russian embassy unite kingdom deny violent events ukraine,passengers dead coronavirus hit cruise ship,cruise liner require passengers fully vaccinate covid,extraordinary story australia weekend people allow disembark cruiseship sydney despite people board test positive passengers travel place australia,ban russian flight airspace,germany italy france join airspace ban russian aircraft,russia ban british airlines airspace,apple halt product sales russia,mcdonald temporarily close store russia,intel amd suspend product deliveries russia,nike coca cola lobby xinjiang force labor,apple try water force labor china,chinese food app delivery driver set self protest wage dispute,india emerge world key vaccine manufacture hub,india supply dose covid vaccine canada february,india overtake covid vaccine inoculation administer million jab,taliban spokesperson warn interfere culture treatment women,taliban force imams mullahs provide women marry terrorists job,afghanistan taliban kill woman wear burqa promise protect womenâ right,palestinians dose vaccine exchange israel,israel give vaccine far ally palestinians wait,israel actively vaccinate population refuse immunize palestinians,putin send soldier ukraine border despite claim russia withdraw troop,steady increase russian troop near ukraine border say pentagon,pence visit ukraine border,biden convince putin decision invade ukraine crisis russia escalate,biden tell putin face toughest sanction invade ukraine,president biden predict russia invade ukraine,recall french ambassador accuse australia treason make aukus submarine deal,france cancel washington reception tone celebrations french revolutionary war victory amid submarine spat,submarine dispute france right angry say australian,king speak pandemic fail radio sweden,sweden covid death rate lower spain italy despite have lockdown,swedish warn pandemic respite deaths start rise,nato countries pour weapons ukraine risk conflict russia,nato involve war ukraine,nato announce urgent meet ukraine envoy tuesday,azerbaijan accuse armenia missile strike kill,azerbaijan arrest soldier suspect war crimes,azerbaijan capture armenian soldier border tensions rise,call grow louder boycott beijing olympics analysts warn retaliation china,beijing winter olympics boycott insignificant say macron,boycott beijing olympics murderous state speak human right,foreign minister confirm president haiti assassinate lady injure attack home,haitian americans custody president kill minister say,american suspect arrest assassination haiti president,ukraine invasion russian belarusian athletes paralympics stun turn,international olympic committee urge sport body cancel events russia belarus,fifa ban russian flag russian national anthem match,coronavirus iran appeal imf loan deaths near,iran coronavirus death toll jump infect,iran supreme leader ali khamenei say sunday country accept aid fight novel coronavirus arch enemy charlatans unite state tehran announce new deaths,peru interim leader announce resignation upheaval,peruvian far right presidential candidate daughter convict president claim allegations fraud close election opponent final vote tally,peru president castillo name member far leave party prime minister,european union deliver weapons ukraine historical watershed moment,ukraine receive fresh supply bayraktar drone eye pop number anti tank weapons,norway send weapons ukraine change policy,global covid case decline worldwide week say,euro final superspreader event covid case link match,world hit covid case active,covid pandemic death toll time higher official tally new study find,covid case increase daily record death toll rise,covid death toll surpass flu,polish hospital refuse abortion psychiatrists advice fear prosecution,poland court rule abortions fetal defect,poland revolt new abortion ban,covid sceptics launch german job site unvaccinated people,covid vaccinate people germany right,germany order vaccines minister say,russia send vaccines week south america biggest russian cities get,russia play infections doctor get covid vaccine claim effective,russia prepare million dose covid vaccine lead scientist hop provide immunity years,russia block plan global ceasefire amid crisis,russia work humanitarian corridor safe passage indians say envoy,russia announce limit ceasefire open civilian evacuation corridors russia belarus,ukraine appeal foreign volunteer join fight russia,ukraine waive visa requirements foreigners want come fight russia,ukraine offer usd asylum country russian solider voluntarily surrender,ukrainian pilot arrive poland pick donate fighter jet,bulgaria poland slovakia donate fighter jet ukraine,pentagon reject nato nations provide jet ukraine,putin mull recognize separatist eastern ukrainian regions,russia recognise separatist area independent,ukrainian mps vote recognize independence russian back regions,worldnews live thread russian invasion ukraine day thread,worldnews live thread russian invasion ukraine day thread,worldnews live thread russian invasion ukraine day thread
14,face backlash tiktok rat drop play store,amazon say ban tiktok employee phone,tiktok collect children personal information privacy group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,new zealand send troop help australian bushfires pacific nations offer support,megafire measure million acres form australia bushfires merge,disturb video firestorm australia show quickly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pope apologize slap hand woman try yank,children victims sex abuse france catholic church past years,pedophiles work french catholic church independent commission say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,war plastic strand oil industry investment,global treaty end production virgin plastic,malaysia send ship containers plastic waste wealthier nations say world garbage dump region flood plastic develop economies britain china order halt import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,wearable brain machine interface turn intentions action,new brain implant turn visualize letter text,viagra help prevent alzheimer disease develop new study show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,super blood moon project cosmic delight world,trump administration draft pact mine moon,china successfully land spacecraft moon retrieve lunar rock,australian astronomers solve intergalactic mystery find universe miss matter,astronomers black hole near earth invisible point darkness reside double star light years away,astronomers observe death distant galaxy time,blue origin launch land reusable new shepard spacecraft yesterday test flight send capsule contain passenger seat test dummy name mannequin skywalker altitude miles pave way commercial flight soon april,jeff bezos sir richard branson astronauts say,navy nasa fleet ship activate space,russia say strand american astronaut space despite media report,nasa stand astronaut incendiary russian claim,roscosmos chief dmitry rogozin threaten iss drop usa europe india china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,greta give fuller portrait teen climate activist,meet anti greta conservative think tank alligned trump take global phenomenon,blah blah blah greta thunberg lambast leaders climate crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ecuador strip julian assange citizenship ecuador revoke citizenship wikileaks founder julian assange authorities numerous irregularities errors application hide ecuador london embassy,julian assange fiancee claim block marry,assange partner say life danger london prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
